ROLL,CLASS11LAN,CLASS11BLD,CLASS12LAN,CLASS12BLD,CLASS20LAN,CLASS20BLD,CLASS30LAN,CLASS30BLD,CLASS31LAN,CLASS31BLD,CLASS32LAN,CLASS32BLD,CLASS40LAN,CLASS40BLD,CLASS51LAN,CLASS51BLD,CLASS52LAN,CLASS52BLD,CLASS60LAN,CLASS60BLD,CLASS70LAN,CLASS70BLD,CLASS80LAN,CLASS80BLD,YEAR
8700,89900,155700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8720,0,0,0,0,0,0,368000,51600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8800,0,0,0,0,0,0,364000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8900,0,0,59900,297200,0,0,305100,109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9000,0,0,59900,105300,0,0,302600,102600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9100,0,0,0,0,0,0,728000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9200,0,0,0,0,0,0,357300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9300,0,0,0,0,0,0,332700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9400,0,0,0,0,0,0,439100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9500,0,0,0,0,0,0,231400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9600,69000,145500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37400,48800,0,0,0,0,2021
9625,0,0,0,0,0,0,702700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9700,110000,222400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9750,0,0,0,0,0,0,648300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9770,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9800,0,0,0,0,0,0,622100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9810,65300,207600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9820,73500,181400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9830,64800,186000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9840,64800,176300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9850,64800,223700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9860,64800,289400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9870,64800,232600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9880,64800,180200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9890,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9900,87800,441300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10000,0,0,0,0,0,0,376000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10100,0,0,0,0,0,0,366700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10300,0,0,0,0,0,0,752700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10400,0,0,0,0,0,0,754000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10500,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,2021
10600,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10700,0,0,0,0,0,0,378600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10800,0,0,0,0,0,0,612000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10900,0,0,59900,161900,0,0,53500,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
10950,0,0,0,0,0,0,713800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11000,0,0,0,0,0,0,744000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11100,0,0,0,0,0,0,506600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11105,0,0,0,0,0,0,132800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11120,82600,403500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11125,73600,245500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,51200,0,0,0,0,2021
11130,86500,190100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11135,86700,247200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11140,93800,207600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11145,93800,370700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11150,86400,259900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11155,86400,166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
